month,p10,p25,p50,p75,p90
2043-02-01,252550.55224804842,294413.4969371181,353091.9555235378,423187.5452573464,505907.9396207077
2043-03-01,254488.01739290816,297104.58193315915,355193.18072434934,427323.0523123985,511056.96334713005
2043-04-01,256001.92127666614,299532.0859655281,358622.8294531145,432022.9839564061,517309.62960155425
2043-05-01,258271.00090877802,301946.5398550088,360804.7349015346,436184.6457140249,521789.2815616994
2043-06-01,260201.27192770244,303992.64061834,364246.4442382295,439596.8968011552,527058.8552594917
2043-07-01,261693.6713805175,306743.0504501351,366830.57217133103,443222.7667733327,533882.3495992477
2043-08-01,263527.33592053107,309295.94639798213,369370.41882411053,447927.06784699915,537055.8883838009
2043-09-01,265328.237033482,310736.47592222824,372328.3367694217,451755.7134035108,542100.4729095147
2043-10-01,266540.24841400346,312154.13782174536,375268.072025967,456172.3785617571,547253.0240915853
2043-11-01,268496.44416014454,314288.8301930316,378132.87243535795,460084.32814518386,551084.5694738158
2043-12-01,270161.15671376855,316202.0825492338,381220.26468507294,464881.03870433173,556089.3011573581
2044-01-01,272433.26092702855,318732.2729519413,383990.14642270777,467602.6288399906,560983.3441603034
2044-02-01,274560.01037551963,320904.1525560063,386656.46491556393,470965.7497855051,566647.2637006358
2044-03-01,275751.29004906793,322723.6614144727,389328.6872017587,474495.11169755436,572510.7614020302
2044-04-01,276971.05908052286,325434.0655166779,392783.4684347556,478084.1737829809,575981.0236972987
2044-05-01,278745.7197759447,327574.2778649995,396228.2229459785,482260.1735635863,580039.7834275361
2044-06-01,281431.29587315663,330583.8997578372,399212.6858671288,484610.0491198457,585038.1851339523
2044-07-01,282059.6683752106,332684.7344230175,402499.0453391319,488892.26902136917,590168.2889721392
2044-08-01,284061.0337456331,334125.28047534334,405514.3094993321,493280.2159128154,598497.9401226052
2044-09-01,286333.5761674452,336813.12482765235,408524.43141611177,496783.5229180019,601783.3462033933
2044-10-01,288251.59992272145,339319.0653327148,411415.9122062399,499672.67349116266,606767.501635924
2044-11-01,290372.5970521674,339915.8063749606,414278.7070355578,505750.0208057883,611854.4535112807
2044-12-01,291709.3761028595,343311.0786939428,417983.10178487224,510476.3240537328,615900.9453657216
2045-01-01,293808.7472740572,345572.7983550369,420749.28250259155,513212.5676237274,620627.947934245
2045-02-01,295487.4796691106,347877.0251009161,423456.5344062691,518209.7089974542,624856.0560984482
2045-03-01,297449.3134536115,351000.2702429374,426557.52345477964,520706.18835349457,631419.1271533637
2045-04-01,298975.11307782144,352885.6182813005,429414.58889477927,525464.4668480743,635984.4871843198
2045-05-01,301040.0340154076,354944.0601299968,432786.6894074519,530007.1732239842,641666.5859249496
2045-06-01,303306.9274220257,357497.36985728325,435544.3488201819,533647.221171004,646810.0449438837
2045-07-01,304181.456214043,359754.8531915605,438950.6329359362,538319.9758617404,651502.9584846959
2045-08-01,305828.32331704133,361929.4601051867,442329.60427643056,541067.4706748716,657581.5385780385
2045-09-01,306693.34883633826,363721.8099681098,445220.9952121619,546313.8305403626,666057.5829777087
2045-10-01,308477.1828197503,366611.1105632201,448226.31186215696,550757.1722695493,672031.3975020403
2045-11-01,310404.56505104754,368723.68197607255,451359.77748127375,552967.4725442799,676257.5812845881
2045-12-01,312165.18487197935,371173.2518964042,454293.0752146355,558098.6274187616,682323.6456372566
2046-01-01,314011.0546481224,372620.02582105517,457970.5786142112,562936.8475450162,685273.3215819439
2046-02-01,315300.7825046749,374623.97240770055,461188.2497787123,567653.6554246068,691158.0791373678
2046-03-01,317365.2036176159,377551.00010023534,463664.0552529388,571402.0336288529,695700.8643378849
2046-04-01,319452.93550802505,379505.6264104374,466453.26162611693,575690.3373984811,701803.8827794743
2046-05-01,322315.2657935112,381774.3602429583,470017.32073433534,580792.6238037627,706701.9582042333
2046-06-01,324717.0536874319,383877.4407378023,473944.73051658575,583732.4990152603,715708.7397010315
2046-07-01,325205.149233634,386463.32911058347,476586.2951450066,588975.2946759795,721060.9229913031
2046-08-01,327191.93970498274,389550.08523697825,480060.8404340501,593163.5691217798,726498.3645380102
2046-09-01,328864.97633384936,392958.79847261944,482052.21604783484,597342.7668752281,729793.7897378637
2046-10-01,329691.5897511646,395260.7888317031,485709.4784780418,602553.566085655,736704.7514224303
2046-11-01,333166.2384469362,397693.1379961425,489638.40255029395,606236.2333519377,743609.1468014035
2046-12-01,335267.4968230999,400233.1175100012,493417.3264057745,610700.486995628,747150.9300544877
2047-01-01,335097.6232039404,402551.5928956603,496496.7480527676,614924.0882558761,753414.6025727701
2047-02-01,337005.6764973711,405189.42697044683,499971.2530421179,618443.520737331,757247.6434899967
2047-03-01,339445.15706360154,406539.48201376555,502232.70837357134,624647.7286133596,764191.4617507536
2047-04-01,340542.2287059214,408075.56501723005,504319.58553178667,628152.4221887123,770056.6055327294
2047-05-01,342968.6057590735,411553.5566574407,508757.5841564931,631315.2202136499,773851.5045985642
2047-06-01,345343.883292258,413731.25872538215,511917.71050005814,638086.1288713755,783387.287347431
2047-07-01,347120.6629266144,414356.96813287796,514535.9472377065,642330.7350398717,786656.149376281
2047-08-01,349103.53362557903,417117.4240570598,517442.4637542544,647838.8300334865,792871.9087433345
2047-09-01,349953.70940055023,420293.29306287493,521341.5903013313,651801.4264165468,799312.8519014685
2047-10-01,352806.77972377604,422602.46703487914,525349.1466460892,658272.111964243,806854.4660338504
2047-11-01,354483.76136520866,425737.527405986,528946.7455721523,661662.636431593,808018.0807420135
2047-12-01,356314.7698299633,429778.85149498796,532979.7566931064,666877.8423844009,815042.9789881236
2048-01-01,358467.96578955173,431612.7964420563,535926.2526469415,671093.7217579484,821502.109728056
2048-02-01,360353.6781781948,433665.7663166146,539844.2266697076,675823.8179979146,827673.0333009311
2048-03-01,363774.54189421004,435606.8391797212,542391.5006260861,680561.2345929637,831639.4001764914
2048-04-01,365870.8397858227,439023.98067051347,545086.9251419218,685385.7274305237,840670.4975673484
2048-05-01,367695.40088622126,440132.0909036152,548931.827643464,690381.316429147,845207.4427523934
2048-06-01,369966.0992794476,442671.82050074567,554195.6993981851,693468.5955407199,854554.6906440947
2048-07-01,371968.46984784195,445429.35904823197,558026.4940917698,699673.2635482243,860139.553256867
2048-08-01,373995.7403281545,449451.1980197085,562551.7072175217,704619.4091928331,864688.7469330967
2048-09-01,376686.3604096227,452662.37495548034,565516.8670771993,707867.3579551397,870816.0763789384
2048-10-01,376959.6499817374,454041.06755559705,568251.0481970056,712833.1864210415,879026.713233094
2048-11-01,378908.4778595498,456320.528051952,571343.5288979544,719393.4046467837,883433.8580376925
2048-12-01,380924.4038030743,459502.4288109885,575062.6146802601,723549.5122094406,890826.7415493197
2049-01-01,382186.2291489845,461090.71613738255,578625.1056036428,730776.7014553017,901016.2490074281
2049-02-01,383318.8499871747,463085.7685670966,581575.9420227483,733039.0292088005,906976.3426317237
2049-03-01,385287.6074879803,466234.6441484636,584802.7882833544,737608.0992029912,914108.1872912636
2049-04-01,388358.6680532428,469317.96356305864,588003.5676925998,744487.5718196873,917727.7694716856
2049-05-01,390811.1007880414,471516.5959333024,591955.0497062544,748635.6235600105,925173.5861319412
2049-06-01,391397.60681181867,475170.90256156714,595104.5250938658,753462.5863076672,936331.8776281872
2049-07-01,394725.3272215535,477507.5442329515,599156.5902645967,759092.9976285272,942404.0667621067
2049-08-01,395061.1879663871,478587.1031036191,603283.4770804745,763488.8701858717,948157.5534622122
2049-09-01,396052.3528675315,481179.4696729131,607013.7447807426,768252.0218862728,957127.2180753332
2049-10-01,397297.0316189028,485172.28189899336,610147.4061906242,772031.0521691446,961555.7435949488
2049-11-01,399162.99418395595,489010.39475247124,614272.3218682006,776245.9939016685,968992.3006258812
2049-12-01,400769.90133130684,491993.77069269377,617918.5718962899,778746.6313799194,974136.4107335722
2050-01-01,404069.2576079933,494437.78895579034,621262.4243932907,783607.254321222,982919.018235385
2050-02-01,406225.97519684717,496257.5252790736,623859.8291114443,788071.1055145133,987131.037559506
2050-03-01,408573.7746699459,498425.3900655682,628625.8363497446,794039.75729478,993517.1919890221
2050-04-01,410531.11267466715,501034.8853897713,633669.6066712069,800195.7019502898,1004169.7570056794
2050-05-01,411139.9768763749,504299.14542607416,637420.1231502979,805014.4350725269,1009763.4656771476
2050-06-01,413156.85365000874,506674.0074781345,641362.3007251096,809988.9303834672,1015405.7294583253
2050-07-01,415987.4124561272,510413.8517751284,645652.87452068,816828.0061661788,1023971.8507579635
2050-08-01,416466.8900066266,511578.3926725562,649693.4613209832,823115.0901076093,1029543.3222978407
2050-09-01,421128.6270561407,515470.45050514245,653389.3719176643,829609.9088349801,1035140.5337904347
2050-10-01,423629.9686131198,519049.97468154813,655110.6285119653,835643.1256002169,1044298.4204297359
2050-11-01,425355.0166976016,521888.14842996106,659884.7000287151,838054.7102988317,1052310.8762698295
2050-12-01,426984.9931240165,525010.2394413521,664479.623997553,845291.4894178146,1055941.619857715
2051-01-01,428404.115436771,529390.4865473136,666175.7960563847,850269.814357887,1063357.6596259633
2051-02-01,430398.67994265497,531013.4342287874,671009.4137510341,858078.9178102853,1070916.8679274183
2051-03-01,431637.6643267479,534118.8712371694,672888.8345480654,859659.0810329475,1078802.470237676
2051-04-01,434081.8301806258,537648.9625569906,678675.7674376753,864502.4361171133,1085698.5537943286
2051-05-01,436659.3250821757,540441.458359503,683317.2431910272,869085.5261335004,1092394.2843676722
2051-06-01,439310.87083807756,541599.9370176904,687324.8497512322,874376.689605953,1097125.002048252
2051-07-01,439773.03463516745,544627.8017905571,691941.3553662205,881559.0374385644,1110711.5379534776
2051-08-01,442156.71227279445,549946.9912407656,696150.8330458363,886380.1908872217,1122312.9433654465
2051-09-01,445022.0594690018,552569.7730986014,699425.5488771063,895250.5265242929,1130779.1504636544
2051-10-01,446630.91734040563,554213.2497055298,702567.2584208336,901071.8628290566,1134303.073986637
2051-11-01,450500.6932034083,555267.6565220179,706108.7385626992,903646.2997590153,1146144.5334049047
2051-12-01,452474.2469033422,559410.6756199595,710153.2151009676,908544.2486303293,1152593.1891491986
2052-01-01,454720.1474537718,561803.707888322,715680.722711052,914601.5950140434,1159313.2832170273
2052-02-01,458015.1784316214,565471.6491779292,718136.8405922547,926186.8341672026,1165990.4005941644
2052-03-01,459218.0887369021,568269.806722782,722354.8956972854,928894.9578498511,1182619.7474763491
2052-04-01,462576.4729229444,571475.4562562986,728090.8273001281,935629.9035530869,1183611.645942105
2052-05-01,464938.69712775206,574858.1416601685,731985.9641705926,939998.6413879764,1192463.5151796297
2052-06-01,467019.0435782065,578917.6587461133,736311.0821757116,946222.9656129645,1201390.2747926656
2052-07-01,470214.7823403721,581334.4067890855,740220.7380767243,951315.9821528387,1208782.4130936156
2052-08-01,472213.4225432104,585044.6724407314,743774.4570485554,957989.3834102203,1216813.722592811
2052-09-01,476442.32664338354,587944.0155775428,748768.8984996052,965327.4210595438,1230079.2666025274
2052-10-01,477652.65609323845,591396.9651650017,753097.8599763192,971154.3826744147,1238023.617280646
2052-11-01,478653.93522827385,593559.0096040353,755537.8490729327,976456.1522761568,1246644.3023934504
2052-12-01,483492.0038479242,596658.5556525183,760423.9927771627,981500.4055370553,1247791.8789170955
2053-01-01,485764.36132156866,598809.783071882,763521.5311275672,986351.5632184456,1263131.51443341
2053-02-01,487290.97596158745,600775.773979996,767639.3411414342,994712.4481741835,1267375.6645400883
2053-03-01,489417.3821310146,603240.1779564895,771553.3236180774,1001585.6102729677,1277388.67381616
2053-04-01,490249.35795612796,607091.3856344015,775649.4005529191,1006266.7317656778,1289205.646739245
2053-05-01,493378.1653855065,610354.3366549653,780322.2392173002,1013406.1321098306,1294724.6705006121
2053-06-01,494636.41704850644,613223.4722771914,784084.6573081112,1020164.2803152045,1304981.3166774916
2053-07-01,496621.4055087186,615657.6091015358,787860.4333378716,1025659.4585087355,1310223.6027993448
2053-08-01,499783.3478800096,620717.5624485365,791341.8492921982,1031178.4830290335,1311864.5682323289
2053-09-01,500821.8921999476,623369.4156073005,796325.0181330947,1034822.9045836701,1323069.8876141498
2053-10-01,504767.3067777694,626813.4546652781,802111.059540628,1038150.1303404785,1329182.2712234443
2053-11-01,507568.3408664247,629842.06655332,806959.1029244621,1044095.5414629059,1341969.5842407285
2053-12-01,510350.5402898379,633604.0252910187,811344.9983047335,1057378.8703318888,1346704.8479284297
2054-01-01,512449.598891672,635529.4806333527,815322.9384554436,1060797.3447319777,1361488.6268960524
2054-02-01,515308.89835014247,639546.5676869263,818843.2793492342,1064450.011396753,1369158.0308271449
2054-03-01,517697.17484153813,644187.0108067319,824703.5558479582,1072120.2980404706,1377812.4401921974
2054-04-01,520761.7262128833,646704.1344070259,827333.2312573288,1081026.600331237,1387443.6839034318
2054-05-01,523986.6755370016,648474.2575469485,832513.6911741369,1084513.574215641,1397719.4033203106
2054-06-01,528320.3837330798,651249.6703506554,838773.3876980024,1090967.9001546262,1406974.8493075215
2054-07-01,528680.3210892533,656029.6532174394,841679.5230391225,1098082.6038940612,1415928.0571643908
2054-08-01,531706.5642043722,658921.7224067254,845938.5192125854,1102663.0836847133,1427130.8933871519
2054-09-01,535107.2115987343,661318.5109046844,849245.9738135402,1110810.141334414,1439692.4228925004
2054-10-01,535768.2695237831,663843.7132276532,854768.4892971391,1113395.8175967988,1443614.87276189
2054-11-01,539411.9895331684,665551.9160945553,856704.135281431,1122710.676399814,1453562.8937511928
2054-12-01,541416.4598878713,670896.9486184939,862641.1021018785,1129949.4189105253,1460556.1426369504
2055-01-01,543871.7281919298,672550.7263384839,867300.5293090758,1138932.327492048,1468600.7384664488
2055-02-01,545071.6442949125,676537.2930446682,873693.764730541,1145284.1793588134,1475557.3688968876
2055-03-01,547478.3745717661,678921.4210579483,876405.1257422598,1149951.1249567678,1487320.594507535
2055-04-01,551228.7926049369,682116.7143763457,880898.8042140605,1156600.9052014118,1494224.1339182027
